p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,protein
0,0.878148719170067,1,1,0,0,Protein-CD62L
0,0.73310206641809,1,1,0,0,Protein-CD4
0,0.472972125692528,1,1,0,0,Protein-CD25
2.65422227763249e-38,0.0481742037258438,1,1,3.98133341644873e-37,0,Protein-CD95
1.29300441305217e-05,0.0162468315909957,1,1,0.000193950661957826,0,Protein-CD45RO
4.08709091518295e-224,0.558675167134884,1,1,6.13063637277443e-223,1,Protein-CD4
0,0.513502962215648,1,0.999,0,1,Protein-CD127
0,0.440552886774165,1,1,0,1,Protein-CCR7
0,0.429918093945633,0.999,0.992,0,1,Protein-CD294
0,0.345818758578642,1,1,0,1,Protein-CD117
6.72299908939562e-307,0.204017469439693,1,1,1.00844986340934e-305,1,Protein-CD122
4.8661753477624e-198,0.100805971537933,1,1,7.2992630216436e-197,1,Protein-CD71
1.30945702953022e-32,0.0734772186037966,1,1,1.96418554429533e-31,1,Protein-CD45RO
0,1.64516829095361,1,0.992,0,2,Protein-CD8
0,0.461690024527329,1,1,0,2,Protein-CD62L
7.97289143927513e-185,0.337746906591699,1,1,1.19593371589127e-183,2,Protein-CD25
0,0.825507221950656,1,1,0,3,Protein-CD4
0,0.575928969018908,1,1,0,3,Protein-CD45RO
0,0.271691104018393,1,1,0,3,Protein-CD95
2.0471557638003e-08,0.0534388487036664,1,0.999,3.07073364570045e-07,3,Protein-CD127
2.92293819129016e-11,0.0343094687363954,1,1,4.38440728693524e-10,3,Protein-CD25
0,1.42457880910925,1,0.984,0,4,Protein-CD86
0,0.799906498321696,1,1,0,4,Protein-CD25
0,0.654012584938858,1,1,0,4,Protein-CD4
1.81522926879673e-172,0.247421661288695,1,1,2.7228439031951e-171,4,Protein-CD45RO
2.20528995199377e-149,0.122947739922395,1,1,3.30793492799066e-148,4,Protein-CD95
0,1.50407805039162,1,0.984,0,5,Protein-CD86
0,1.46843876890779,1,0.993,0,5,Protein-CD8
1.20640461679453e-183,0.427591964133205,1,1,1.80960692519179e-182,5,Protein-CD25
7.28318968228374e-66,0.0783648014099966,1,1,1.09247845234256e-64,5,Protein-CD95
0,1.46693135713778,1,0.993,0,6,Protein-CD8
9.8162268595814e-287,0.267597361017806,1,1,1.47243402893721e-285,6,Protein-CD122
1.93296831524546e-106,0.261232914801865,0.997,0.993,2.89945247286819e-105,6,Protein-CD294
3.35424435635417e-162,0.193511020992385,1,1,5.03136653453125e-161,6,Protein-CD117
5.8492046254095e-62,0.154576982985326,1,1,8.77380693811426e-61,6,Protein-CCR7
1.40146458198963e-37,0.0950695406123164,1,1,2.10219687298445e-36,6,Protein-CD127
1.04407777515244e-70,0.06803334116567,1,1,1.56611666272866e-69,6,Protein-CD71
0.00647404974245367,0.0108318010675532,1,1,0.097110746136805,6,Protein-CD45RO
0,3.40293660893258,0.999,0.958,0,7,Protein-CD56
0,1.23796058626545,1,1,0,7,Protein-CD71
0,0.398100098974236,1,1,0,7,Protein-CD117
1.90952392483026e-185,0.388762120033215,0.994,0.993,2.86428588724539e-184,7,Protein-CD294
1.29163363947409e-256,0.353990775623526,1,1,1.93745045921113e-255,7,Protein-CCR7
4.06897420835247e-58,0.13886344525403,0.999,1,6.10346131252871e-57,7,Protein-CD127
6.6266811535892e-51,0.123263185210909,0.999,1,9.9400217303838e-50,7,Protein-CD122
0,2.93174476964676,0.999,0.914,0,8,Protein-CD45RA
0,1.35516928940656,0.999,0.993,0,8,Protein-CD8
2.5193980265473e-77,0.190025916620599,1,1,3.77909703982096e-76,8,Protein-CCR7
1.09196631019086e-15,0.0903740082826745,0.994,0.993,1.6379494652863e-14,8,Protein-CD294
3.46230593280443e-21,0.0742535807465308,0.999,1,5.19345889920664e-20,8,Protein-CD127
4.43351970214413e-26,0.0672982399144164,1,1,6.6502795532162e-25,8,Protein-CD117
9.85814457679072e-281,0.662173878009302,0.998,0.993,1.47872168651861e-279,9,Protein-CD294
1.25578854383031e-234,0.566213383513869,0.986,0.96,1.88368281574546e-233,9,Protein-CD56
0,0.533678108859711,1,1,0,9,Protein-CD122
2.66785193004509e-281,0.52503747721354,1,1,4.00177789506764e-280,9,Protein-CCR7
0,0.51963863578783,1,1,0,9,Protein-CD117
1.53414773592024e-212,0.439782220990969,1,0.999,2.30122160388036e-211,9,Protein-CD127
1.58207853831853e-228,0.380142547537887,1,1,2.3731178074778e-227,9,Protein-CD71
3.84928963788323e-88,0.310502635547838,0.996,0.985,5.77393445682485e-87,9,Protein-CD86
0,2.31784858515726,1,0.916,0,10,Protein-CD45RA
9.82890918748446e-217,0.47298745329499,1,1,1.47433637812267e-215,10,Protein-CCR7
5.27730742792887e-12,0.380917015216387,1,1,7.9159611418933e-11,10,Protein-CD4
1.50035401600118e-121,0.350085110338816,1,0.999,2.25053102400177e-120,10,Protein-CD127
5.42589120970288e-43,0.211498790562873,1,1,8.13883681455432e-42,10,Protein-CD62L
5.08859078509002e-18,0.0719508696308644,1,1,7.63288617763504e-17,10,Protein-CD117
9.65907369504866e-06,0.0675663168794944,0.998,0.993,0.00014488610542573,10,Protein-CD294
